"Time","Encoder Angle [deg]","Encoder Speed [rpm]"
0,-65.126953125,200.34794616699219
0.0099999997764825821,-53.173828125,200.34800720214844
0.019999999552965164,-41.1328125,199.21882629394531
0.029999999329447746,-29.179689407348633,201.01345825195313
0.039999999105930328,-17.314455032348633,197.42988586425781
0.049999997019767761,-5.3613286018371582,199.21293640136719
0.059999998658895493,6.5917882919311523,199.21849060058594
0.070000000298023224,18.544919967651367,199.21875
0.079999998211860657,30.498052597045898,199.88426208496094
0.08999999612569809,42.539073944091797,199.2247314453125
0.099999994039535522,54.580070495605469,200.34812927246094
0.10999999940395355,66.533203125,200.34761047363281
0.11999999731779099,78.662117004394531,202.14260864257813
0.12999999523162842,90.703140258789063,201.01947021484375
0.14000000059604645,102.83202362060547,201.01945495605469
0.14999999105930328,114.873046875,202.14802551269531
0.15999999642372131,126.82617950439453,199.22459411621094
0.17000000178813934,138.8671875,201.01348876953125
0.17999999225139618,150.8203125,199.22450256347656
0.18999999761581421,162.77345275878906,197.42422485351563
0.19999998807907104,174.7265625,201.00743103027344
0.20999999344348907,-173.3203125,197.4296875
0.2199999988079071,-161.36720275878906,199.21275329589844
0.22999998927116394,-149.4140625,200.34803771972656
0.23999999463558197,-137.37306213378906,199.21861267089844
0.25,-125.33203125,200.34803771972656
0.25999999046325684,-113.291015625,200.34794616699219
0.26999998092651367,-101.25,200.34793090820313
0.2800000011920929,-89.208984375,200.34793090820313
0.28999999165534973,-77.16796875,202.14259338378906
0.29999998211860657,-65.21484375,199.22457885742188
0.31000000238418579,-53.173828125,201.013427734375
0.31999999284744263,-41.220703125,199.22457885742188
