"Time","Duty 1","Duty 2","Duty 3","I1","I2","I3","V delta","Vdc"
0,0.49644359946250916,0.46488964557647705,0.53511035442352295,-0.92943954467773438,0.74355697631835938,-0.1445770263671875,17.7734375,538.76953125
0.0099999997764825821,0.50826394557952881,0.46531873941421509,0.53468126058578491,-1.0327110290527344,0.49570846557617188,-0.030977249145507813,17.7734375,538.4765625
0.019999999552965164,0.52451974153518677,0.46545326709747314,0.53454673290252686,-1.3012161254882813,0.66094017028808594,0.17556571960449219,18.26171875,538.57421875
0.029999999329447746,0.52939391136169434,0.47060608863830566,0.52672344446182251,-1.0223846435546875,0.1136016845703125,0.40276336669921875,18.45703125,538.671875
0.039999999105930328,0.53440284729003906,0.46559718251228333,0.51434922218322754,-1.1979446411132813,0.10327529907226563,0.60930633544921875,18.06640625,538.37890625
0.049999997019767761,0.53405904769897461,0.46594098210334778,0.50239890813827515,-1.0223846435546875,-0.1445770263671875,0.70225143432617188,17.96875,538.671875
0.059999998658895493,0.53374338150024414,0.46625658869743347,0.49091434478759766,-0.85714912414550781,-0.28915596008300781,0.74355697631835938,17.28515625,538.4765625
0.070000000298023224,0.53302747011184692,0.46697255969047546,0.47599977254867554,-0.93976593017578125,-0.51635360717773438,0.95010185241699219,18.359375,538.37890625
0.079999998211860657,0.52942603826522827,0.47651538252830505,0.47057396173477173,-0.43373489379882813,-0.77453231811523438,0.85715675354003906,18.1640625,538.37890625
0.08999999612569809,0.53322398662567139,0.48701995611190796,0.46677598357200623,-0.41308212280273438,-0.90878677368164063,0.86748313903808594,17.48046875,538.28125
0.099999994039535522,0.53278881311416626,0.50155031681060791,0.46721121668815613,-0.051631927490234375,-1.0946731567382813,0.80552101135253906,18.1640625,538.28125
0.10999999940395355,0.53142404556274414,0.51203382015228271,0.46857592463493347,0.13425636291503906,-1.0740203857421875,0.5783233642578125,17.578125,538.4765625
0.11999999731779099,0.53250360488891602,0.52633661031723022,0.46749639511108398,0.1652374267578125,-1.3218708038330078,0.71257781982421875,18.5546875,538.37890625
0.12999999523162842,0.52147763967514038,0.53021395206451416,0.46978604793548584,0.48538017272949219,-1.1566352844238281,0.2685089111328125,18.06640625,538.28125
0.14000000059604645,0.51020324230194092,0.53300970792770386,0.46699026226997375,0.60930442810058594,-1.1566352844238281,0.13425636291503906,17.67578125,538.18359375
0.14999999105930328,0.49514049291610718,0.53434264659881592,0.46565738320350647,0.86748504638671875,-1.2186012268066406,-0.072286605834960938,18.5546875,538.57421875
0.15999999642372131,0.48562952876091003,0.53131169080734253,0.46868830919265747,0.79519462585449219,-0.83649635314941406,-0.32013702392578125,17.3828125,538.28125
0.17000000178813934,0.47152772545814514,0.5318150520324707,0.4681849479675293,1.0636997222900391,-0.90878486633300781,-0.35111808776855469,18.84765625,538.0859375
0.17999999225139618,0.46891394257545471,0.53108608722686768,0.48022827506065369,0.81584930419921875,-0.62995147705078125,-0.76420402526855469,18.65234375,538.37890625
0.18999999761581421,0.46707767248153687,0.53292232751846313,0.49181282520294189,0.77453994750976563,-0.41308212280273438,-0.86747550964355469,17.7734375,538.4765625
0.19999998807907104,0.46451777219772339,0.53548222780227661,0.50522691011428833,0.91912078857421875,-0.33046340942382813,-1.0636920928955078,18.65234375,538.57421875
0.20999999344348907,0.46737194061279297,0.53262805938720703,0.51473814249038696,0.59897994995117188,-0.072286605834960938,-0.98107528686523438,17.87109375,538.4765625
0.2199999988079071,0.46887201070785522,0.53112798929214478,0.52988559007644653,0.65061378479003906,0.18589401245117188,-1.1979465484619141,18.65234375,538.4765625
0.22999998927116394,0.46765106916427612,0.51969921588897705,0.53234893083572388,0.40276336669921875,0.44407081604003906,-1.0946750640869141,18.65234375,538.37890625
0.23999999463558197,0.46653464436531067,0.50696694850921631,0.53346532583236694,0.09294891357421875,0.55767059326171875,-1.0843467712402344,18.06640625,538.57421875
0.25,0.4637971818447113,0.49186229705810547,0.53620284795761108,3.814697265625e-06,0.83650398254394531,-1.2805614471435547,18.9453125,538.37890625
0.25999999046325684,0.4687235951423645,0.48303124308586121,0.5312764048576355,-0.37177467346191406,0.70224952697753906,-0.81583976745605469,17.28515625,538.37890625
0.26999998092651367,0.46986076235771179,0.47067162394523621,0.5301392674446106,-0.48537254333496094,0.81584930419921875,-0.8158416748046875,18.65234375,538.57421875
0.2800000011920929,0.48145931959152222,0.46769946813583374,0.53230053186416626,-0.69191551208496094,0.84682846069335938,-0.6092987060546875,18.84765625,538.28125
0.28999999165534973,0.49404829740524292,0.46747997403144836,0.53251999616622925,-0.83649444580078125,0.7332305908203125,-0.30981063842773438,18.26171875,538.671875
0.29999998211860657,0.50778192281723022,0.46494868397712708,0.53505128622055054,-1.1050014495849609,0.85715675354003906,-0.2994842529296875,18.9453125,538.57421875
0.31000000238418579,0.51559370756149292,0.46892371773719788,0.53107631206512451,-0.96042060852050781,0.48538017272949219,-0.01032257080078125,18.359375,538.671875
0.31999999284744263,0.52830040454864502,0.47163298726081848,0.52836704254150391,-1.1359825134277344,0.35112762451171875,0.18589401245117188,18.1640625,538.57421875
