"Time","Duty 1","Duty 2","Duty 3","I1","I2","I3","V delta","Vdc"
0,0.54269570112228394,0.45730429887771606,0.50218498706817627,-0.072286605834960938,-0.0929412841796875,-0.030977249145507813,18.359375,539.2578125
0.0099999997764825821,0.5406794548034668,0.4593205451965332,0.48606690764427185,-0.06195831298828125,-0.25817489624023438,-0.082612991333007813,18.45703125,538.96484375
0.019999999552965164,0.53784388303756714,0.46215611696243286,0.47139912843704224,-0.020650863647460938,-0.23752021789550781,-0.0929412841796875,18.26171875,538.96484375
0.029999999329447746,0.53804391622543335,0.47042751312255859,0.46195605397224426,-0.051631927490234375,-0.17555809020996094,-0.051631927490234375,18.65234375,538.8671875
0.039999999105930328,0.53974348306655884,0.48647004365921021,0.46025651693344116,0.0103302001953125,-0.26850128173828125,-0.17555809020996094,18.26171875,538.96484375
0.049999997019767761,0.54199928045272827,0.50211840867996216,0.45800071954727173,-0.051631927490234375,-0.23752021789550781,-0.020648956298828125,18.26171875,538.8671875
0.059999998658895493,0.54055458307266235,0.51605260372161865,0.45944544672966003,-0.0413055419921875,-0.13424873352050781,-0.06195831298828125,18.84765625,538.96484375
0.070000000298023224,0.53654271364212036,0.53165924549102783,0.46345728635787964,0.030984878540039063,-0.18588447570800781,-0.16522979736328125,18.1640625,538.8671875
0.079999998211860657,0.5260433554649353,0.5398256778717041,0.4601743221282959,-0.030977249145507813,-0.32013702392578125,-0.061960220336914063,18.5546875,538.8671875
0.08999999612569809,0.51069819927215576,0.54078662395477295,0.45921340584754944,0.010332107543945313,-0.13424873352050781,-0.14457511901855469,18.359375,538.8671875
0.099999994039535522,0.49520161747932434,0.54289209842681885,0.45710790157318115,-0.051631927490234375,-0.2994842529296875,-0.10326766967773438,17.7734375,538.8671875
0.10999999940395355,0.47834792733192444,0.54057019948959351,0.45942980051040649,0.04131317138671875,-0.22719383239746094,-0.17555809020996094,18.5546875,538.96484375
0.11999999731779099,0.46430930495262146,0.53639876842498779,0.46360123157501221,-0.0413055419921875,-0.14457511901855469,-0.2478485107421875,18.65234375,538.8671875
0.12999999523162842,0.45874482393264771,0.54125517606735229,0.47699639201164246,0.082622528076171875,-0.1962127685546875,-0.18588638305664063,18.359375,539.0625
0.14000000059604645,0.45797878503799438,0.54202121496200562,0.49242645502090454,-0.0413055419921875,-0.072286605834960938,-0.1962127685546875,18.75,539.0625
0.14999999105930328,0.45753219723701477,0.54246777296066284,0.50643259286880493,-0.14457511901855469,-0.16523170471191406,-0.17555809020996094,18.45703125,538.8671875
0.15999999642372131,0.45810997486114502,0.54189002513885498,0.52325218915939331,0.030984878540039063,-0.13424873352050781,-0.18588638305664063,18.65234375,539.0625
0.17000000178813934,0.46266758441925049,0.53697973489761353,0.53733241558074951,-0.11359405517578125,-0.072286605834960938,-0.17555809020996094,19.04296875,538.96484375
0.17999999225139618,0.45771709084510803,0.52345269918441772,0.54228287935256958,-0.030977249145507813,-0.11359405517578125,-0.23752021789550781,18.1640625,538.8671875
0.18999999761581421,0.45638558268547058,0.50800454616546631,0.54361444711685181,-0.072286605834960938,-0.10326766967773438,-0.16522979736328125,18.65234375,539.0625
0.19999998807907104,0.45652130246162415,0.49113938212394714,0.54347866773605347,-0.13424873352050781,-0.0929412841796875,-0.17555809020996094,17.87109375,538.96484375
0.20999999344348907,0.45708781480789185,0.47508028149604797,0.54291218519210815,-0.041303634643554688,-0.01032257080078125,-0.25817489624023438,18.75,539.0625
0.2199999988079071,0.46300378441810608,0.46282750368118286,0.53717249631881714,-0.17555809020996094,-0.18588638305664063,-0.082614898681640625,18.84765625,539.16015625
0.22999998927116394,0.47637253999710083,0.45866313576698303,0.54133683443069458,-0.0929412841796875,-0.15490341186523438,-0.0929412841796875,18.26171875,539.0625
0.23999999463558197,0.49314925074577332,0.45659801363945007,0.54340195655822754,-0.10326766967773438,-0.051631927490234375,-0.051631927490234375,18.06640625,539.0625
0.25,0.50819450616836548,0.45757806301116943,0.54242193698883057,-0.06195831298828125,-0.16522979736328125,-0.020650863647460938,18.26171875,539.0625
0.25999999046325684,0.52386307716369629,0.4580560028553009,0.54194396734237671,-0.11359405517578125,-0.061960220336914063,-0.14457511901855469,18.359375,539.0625
0.26999998092651367,0.53681308031082153,0.46318694949150085,0.53578919172286987,-0.0929412841796875,-0.25817489624023438,-0.0929412841796875,18.65234375,539.0625
0.2800000011920929,0.54070103168487549,0.4592989981174469,0.52115297317504883,-0.051631927490234375,-0.17555809020996094,-0.0413055419921875,18.359375,538.8671875
0.28999999165534973,0.54311549663543701,0.45688450336456299,0.50556749105453491,-0.12392044067382813,-0.082612991333007813,-0.020648956298828125,18.1640625,539.0625
0.29999998211860657,0.54155290126800537,0.45844709873199463,0.49061965942382813,-0.06195831298828125,-0.21686553955078125,-0.12392234802246094,18.26171875,539.2578125
0.31000000238418579,0.53968065977096558,0.46031934022903442,0.4741402268409729,-0.092939376831054688,-0.18588638305664063,-0.030977249145507813,18.45703125,539.16015625
0.31999999284744263,0.53620922565460205,0.46830153465270996,0.46379077434539795,0.0619659423828125,-0.23752021789550781,-0.10326766967773438,18.65234375,539.2578125
