"Time","Encoder Angle [deg]","Encoder Speed [rpm]"
0,29.619142532348633,199.23991394042969
0.0099999997764825821,41.660163879394531,199.23899841308594
0.019999999552965164,53.701160430908203,199.23902893066406
0.029999999329447746,65.742179870605469,199.23991394042969
0.039999999105930328,77.6953125,199.23991394042969
0.049999997019767761,89.648445129394531,199.23899841308594
0.059999998658895493,101.60157775878906,199.19779968261719
0.070000000298023224,113.64257049560547,202.12738037109375
0.079999998211860657,125.419921875,196.31045532226563
0.08999999612569809,137.46095275878906,199.19815063476563
0.099999994039535522,149.4140625,199.239013671875
0.10999999940395355,161.27931213378906,196.30987548828125
0.11999999731779099,173.3203125,202.12771606445313
0.12999999523162842,-174.7265625,199.21894836425781
0.14000000059604645,-162.68556213378906,202.12782287597656
0.14999999105930328,-150.732421875,199.21894836425781
0.15999999642372131,-138.60353088378906,202.12782287597656
0.17000000178813934,-126.65039825439453,199.23956298828125
0.17999999225139618,-114.697265625,199.21893310546875
0.18999999761581421,-102.65625762939453,202.12782287597656
0.19999998807907104,-90.791023254394531,199.21894836425781
0.20999999344348907,-78.837898254394531,199.19825744628906
0.2199999988079071,-66.884773254394531,199.21878051757813
0.22999998927116394,-55.107425689697266,196.30987548828125
0.23999999463558197,-43.066410064697266,196.30964660644531
0.25,-31.201171875,199.2392578125
0.25999999046325684,-19.248046875,199.19821166992188
0.26999998092651367,-7.20703125,202.12771606445313
0.2800000011920929,4.8339982032775879,202.12783813476563
0.28999999165534973,16.787101745605469,199.21940612792969
0.29999998211860657,28.916015625,202.1282958984375
0.31000000238418579,40.957038879394531,202.14802551269531
0.31999999284744263,52.910171508789063,199.218505859375
