"Time","Encoder Angle [deg]","Encoder Speed [rpm]"
0,15.029285430908203,102.49124145507813
0.0099999997764825821,21.093755722045898,99.657745361328125
0.019999999552965164,27.070306777954102,99.608779907226563
0.029999999329447746,33.134777069091797,102.53910827636719
0.039999999105930328,39.111331939697266,99.6090087890625
0.049999997019767761,45.175773620605469,99.609619140625
0.059999998658895493,51.240242004394531,99.657508850097656
0.070000000298023224,57.216796875,99.608779907226563
0.079999998211860657,63.281238555908203,102.49124145507813
0.08999999612569809,69.257820129394531,102.49147796630859
0.099999994039535522,75.234367370605469,99.609901428222656
0.10999999940395355,81.298843383789063,99.609619140625
0.11999999731779099,87.275390625,99.6566162109375
0.12999999523162842,93.251945495605469,99.561782836914063
0.14000000059604645,99.228523254394531,102.4912109375
0.14999999105930328,105.1171875,96.727424621582031
0.15999999642372131,111.09376525878906,99.609397888183594
0.17000000178813934,117.07032012939453,99.560890197753906
0.17999999225139618,122.95897674560547,99.609619140625
0.18999999761581421,128.93556213378906,99.561782836914063
0.19999998807907104,134.912109375,99.609237670898438
0.20999999344348907,140.80078125,99.609619140625
0.2199999988079071,146.77735900878906,99.561325073242188
0.22999998927116394,152.75392150878906,99.609237670898438
0.23999999463558197,158.642578125,99.609619140625
0.25,164.70703125,99.609619140625
0.25999999046325684,170.68360900878906,102.49078369140625
0.26999998092651367,176.66017150878906,99.609451293945313
0.2800000011920929,-177.27540588378906,99.607872009277344
0.28999999165534973,-171.21095275878906,102.49121856689453
0.29999998211860657,-165.146484375,102.49102020263672
0.31000000238418579,-159.169921875,99.609451293945313
0.31999999284744263,-153.01759338378906,102.53866577148438
