"Time","Encoder Angle [deg]","Encoder Speed [rpm]"
0,46.054683685302734,201.14064025878906
0.0099999997764825821,58.18359375,202.13882446289063
0.019999999552965164,70.224617004394531,202.14837646484375
0.029999999329447746,82.265640258789063,200.23612976074219
0.039999999105930328,94.306632995605469,199.22825622558594
0.049999997019767761,106.259765625,200.22648620605469
0.059999998658895493,118.21289825439453,198.2213134765625
0.070000000298023224,130.16603088378906,199.2088623046875
0.079999998211860657,142.11915588378906,201.13079833984375
0.08999999612569809,154.072265625,197.30647277832031
0.099999994039535522,166.11329650878906,201.13107299804688
0.10999999940395355,178.06640625,201.13104248046875
0.11999999731779099,-169.892578125,199.218017578125
0.12999999523162842,-157.76368713378906,202.13864135742188
0.14000000059604645,-145.810546875,201.14077758789063
0.14999999105930328,-133.68165588378906,200.2264404296875
0.15999999642372131,-121.55274200439453,203.05291748046875
0.17000000178813934,-109.59961700439453,199.2188720703125
0.17999999225139618,-97.558601379394531,202.13856506347656
0.18999999761581421,-85.605476379394531,199.22866821289063
0.19999998807907104,-73.740242004394531,197.30653381347656
0.20999999344348907,-61.699222564697266,199.21878051757813
0.2199999988079071,-49.833984375,198.21119689941406
0.22999998927116394,-37.880863189697266,199.20892333984375
0.23999999463558197,-25.927734375,201.13099670410156
0.25,-13.974610328674316,199.21882629394531
0.25999999046325684,-1.8457032442092896,200.22633361816406
0.26999998092651367,10.195314407348633,202.14849853515625
0.2800000011920929,22.236337661743164,199.22862243652344
0.28999999165534973,34.365222930908203,202.13850402832031
0.29999998211860657,46.494136810302734,203.0528564453125
0.31000000238418579,58.535160064697266,201.13134765625
0.31999999284744263,70.664070129394531,202.1385498046875
