X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-6.000000e-02,1.000000e-04
0,7.20e+01,-1.64e+02,4.00e+00,
1,8.40e+01,-1.40e+02,4.80e+01,
2,8.40e+01,-1.56e+02,4.80e+01,
3,6.80e+01,-1.32e+02,-8.00e+00,
4,7.20e+01,-1.48e+02,4.40e+01,
5,9.20e+01,-1.20e+02,0.00e+00,
6,6.80e+01,-1.44e+02,-8.00e+00,
7,9.20e+01,-1.20e+02,4.40e+01,
8,7.60e+01,-1.36e+02,3.60e+01,
9,9.60e+01,-1.16e+02,-1.20e+01,
10,7.60e+01,-1.36e+02,-1.20e+01,
11,1.00e+02,-1.08e+02,4.40e+01,
12,8.00e+01,-1.28e+02,4.00e+01,
13,1.04e+02,-1.08e+02,-1.20e+01,
14,8.40e+01,-1.08e+02,4.00e+01,
15,1.08e+02,-1.28e+02,-2.00e+01,
16,8.80e+01,-1.24e+02,3.60e+01,
17,1.08e+02,-1.04e+02,-2.00e+01,
18,9.20e+01,-1.04e+02,3.60e+01,
19,1.20e+02,-1.24e+02,-2.00e+01,
20,1.00e+02,-1.04e+02,4.00e+01,
21,1.28e+02,-1.24e+02,-2.00e+01,
22,1.04e+02,-1.08e+02,3.20e+01,
23,1.32e+02,-1.32e+02,-2.40e+01,
24,1.12e+02,-1.08e+02,3.20e+01,
25,1.40e+02,-1.32e+02,-2.40e+01,
26,1.20e+02,-1.16e+02,-2.40e+01,
27,1.44e+02,-1.36e+02,3.20e+01,
28,1.24e+02,-1.16e+02,-2.40e+01,
29,1.44e+02,-1.36e+02,2.40e+01,
30,1.44e+02,-1.32e+02,2.40e+01,
31,1.12e+02,-1.08e+02,-3.20e+01,
32,1.40e+02,-1.24e+02,-2.80e+01,
33,1.12e+02,-1.04e+02,2.40e+01,
34,1.32e+02,-1.20e+02,-3.20e+01,
35,1.08e+02,-9.60e+01,2.00e+01,
36,1.28e+02,-1.12e+02,1.20e+01,
37,1.04e+02,-9.20e+01,-3.60e+01,
38,1.04e+02,-1.08e+02,-3.60e+01,
39,1.32e+02,-8.00e+01,1.60e+01,
40,1.32e+02,-1.00e+02,-3.60e+01,
41,1.08e+02,-8.00e+01,1.60e+01,
42,1.12e+02,-1.00e+02,-3.60e+01,
43,1.32e+02,-8.00e+01,1.20e+01,
