"Time / s","Switch2","Switch3","Sum3"
0,0,0.47866088151931763,1.7447190284729004
0.0099999997764825821,0,0.38725367188453674,1.4115396738052368
0.019999999552965164,0,0.47824227809906006,1.7431931495666504
0.029999999329447746,0,0.55890542268753052,2.0372104644775391
0.039999999105930328,0,0.55943995714187622,2.039158821105957
0.049999997019767761,0,0.65079385042190552,2.3721437454223633
0.059999998658895493,0,0.66157561540603638,2.4114432334899902
0.070000000298023224,0,0.48922893404960632,1.7832396030426025
0.079999998211860657,0,0.39736941456794739,1.4484115839004517
0.08999999612569809,0,0.47784712910652161,1.7417528629302979
0.099999994039535522,0,0.47818475961685181,1.7429835796356201
