"Time","Encoder Angle [deg]","Gain5:2","Encoder Speed [rpm]","Gain4:2"
0,-1.6273449659347534,-1.5605041980743408,795.06109619140625,799.91168212890625
0.0099999997764825821,-0.78853976726531982,-0.72379058599472046,800.9388427734375,799.36639404296875
0.019999999552965164,0.051836371421813965,0.11513092368841171,803.93902587890625,803.61669921875
0.029999999329447746,0.8922123908996582,0.95276308059692383,801.0609130859375,797.35687255859375
0.039999999105930328,1.7294467687606812,1.7915960550308228,801.000244140625,800.97711181640625
0.049999997019767761,2.5666813850402832,2.6281473636627197,798.06097412109375,797.1673583984375
0.059999998658895493,3.4039158821105957,-2.8153488636016846,800.939208984375,801.04229736328125
0.070000000298023224,4.2380084991455078,-1.9794094562530518,797.99993896484375,799.6898193359375
0.079999998211860657,-1.2079423666000366,-1.1415854692459106,797.99951171875,797.86383056640625
0.08999999612569809,-0.36913704872131348,-0.30551198124885559,800.93963623046875,800.02301025390625
0.099999994039535522,0.46966814994812012,0.53359770774841309,803.939208984375,798.642822265625
