"Time","Encoder Angle [deg]","Gain5:2","Encoder Speed [rpm]","Gain4:2"
0,0.77754402160644531,0.7386818528175354,803.9072265625,799.18267822265625
0.0099999997764825821,1.616349458694458,1.5762490034103394,798.09326171875,800.57763671875
0.019999999552965164,-3.8280308246612549,2.4136278629302979,803.90570068359375,799.8935546875
0.029999999329447746,-2.9923672676086426,-3.031043529510498,800.90826416015625,802.5933837890625
0.039999999105930328,-2.1567034721374512,-2.1934516429901123,798.00030517578125,799.24676513671875
0.049999997019767761,-1.3194690942764282,-1.3559561967849731,798.00018310546875,800.24755859375
0.059999998658895493,-0.48066377639770508,-0.51900047063827515,800.9996337890625,798.77667236328125
0.070000000298023224,0.35814142227172852,0.32032570242881775,800.999755859375,801.81622314453125
0.079999998211860657,1.1969466209411621,1.157503604888916,800.999755859375,800.220458984375
0.08999999612569809,2.0373227596282959,1.9954978227615356,801.0001220703125,798.42095947265625
0.099999994039535522,-3.4086282253265381,2.8331007957458496,798.18505859375,801.0697021484375
