"Time","Encoder Angle [deg]","Gain5:2","Encoder Speed [rpm]","Gain4:2"
0,1.2346458435058594,1.1724257469177246,1214.9998779296875,1212.595458984375
0.0099999997764825821,-3.7793362140655518,2.4433395862579346,1212.054443359375,1212.5458984375
0.019999999552965164,-2.5085620880126953,-2.5688269138336182,1212.0003662109375,1214.8564453125
0.029999999329447746,-1.2377877235412598,-1.2982469797134399,1212.0545654296875,1215.0687255859375
0.039999999105930328,0.034557342529296875,-0.02688831090927124,1214.9998779296875,1214.267578125
0.049999997019767761,1.3069024085998535,1.2442108392715454,1214.9998779296875,1214.2542724609375
0.059999998658895493,-3.7039380073547363,2.5160245895385742,1215.0540771484375,1212.8544921875
0.070000000298023224,-2.4347343444824219,-2.4962751865386963,1212.00048828125,1213.2132568359375
0.079999998211860657,-1.1686726808547974,-1.2253298759460449,1209.0006103515625,1212.9456787109375
0.08999999612569809,0.10210180282592773,0.045094110071659088,1211.9990234375,1213.4715576171875
0.099999994039535522,1.3744466304779053,1.3151668310165405,1214.9990234375,1214.889404296875
