"Time","Duty 1","Duty 2","Duty 3","I1","I2","I3","Id","Iq","Vd","Vq"
0,0.29785463213920593,0.45127350091934204,0.70214533805847168,-0.33046531677246094,-0.1962127685546875,0.34080123901367188,-0.058830223977565765,0.40590971708297729,7.1804294586181641,139.95028686523438
0.0099999997764825821,0.55015373229980469,0.29934850335121155,0.70065152645111084,0.082620620727539063,-0.53700828552246094,0.20654678344726563,-0.079020552337169647,0.45315501093864441,7.1619100570678711,139.05961608886719
0.019999999552965164,0.69819629192352295,0.30180373787879944,0.44940975308418274,0.44407081604003906,-0.42341041564941406,-0.26850128173828125,-0.08433087170124054,0.5275261402130127,6.9568562507629395,137.4920654296875
0.029999999329447746,0.69680345058441162,0.553070068359375,0.30319657921791077,0.34079933166503906,-0.01032257080078125,-0.57831573486328125,0.032343477010726929,0.53457522392272949,5.6634902954101563,136.7967529296875
0.039999999105930328,0.44865426421165466,0.6988983154296875,0.30110165476799011,-0.21686553955078125,0.3201446533203125,-0.44406318664550781,-0.015921216458082199,0.45286044478416443,6.4703330993652344,138.0830078125
0.049999997019767761,0.29900449514389038,0.70099550485610962,0.54977673292160034,-0.43373680114746094,0.22720146179199219,0.030984878540039063,-0.015592957846820354,0.39163827896118164,6.7741899490356445,139.36065673828125
0.059999998658895493,0.30046498775482178,0.45334166288375854,0.69953501224517822,-0.30981063842773438,-0.17555809020996094,0.43374443054199219,-0.076049260795116425,0.45120128989219666,7.2189726829528809,138.14964294433594
0.070000000298023224,0.54766422510147095,0.29987812042236328,0.70012187957763672,0.030984878540039063,-0.5060272216796875,0.24785614013671875,-0.024670809507369995,0.44746598601341248,6.7531061172485352,138.55874633789063
0.079999998211860657,0.70118510723114014,0.29881492257118225,0.45359396934509277,0.34079933166503906,-0.37177467346191406,-0.27882957458496094,-0.09581979364156723,0.43691450357437134,7.6707172393798828,139.19148254394531
0.08999999612569809,0.69963532686233521,0.54963916540145874,0.30036467313766479,0.28916358947753906,-0.0413055419921875,-0.49569892883300781,0.043384872376918793,0.45294648408889771,6.0707612037658691,138.459228515625
0.099999994039535522,0.45170024037361145,0.70269989967346191,0.29730013012886047,-0.18588447570800781,0.24785423278808594,-0.39242744445800781,-0.006307065486907959,0.37729176878929138,6.8329238891601563,140.36824035644531
