"Time / s","rpm to rad/s","CAN Unpack:id","Manual Switch","Gain:1","Ref Field Current","Gain:3","Torque"
0,104.71975708007813,104.657470703125,1.0033522844314575,0.98108291625976563,0.80000001192092896,0.13425636291503906,1.4046932458877563
0.00090000004274770617,104.71975708007813,104.6314697265625,1.0386180877685547,1.0017375946044922,0.80000001192092896,0.1652374267578125,1.4540653228759766
0.0018000000854954123,104.71975708007813,104.61807250976563,1.059938907623291,1.0327186584472656,0.80000001192092896,0.16523933410644531,1.4839144945144653
0.0027000000700354576,104.71975708007813,104.6168212890625,1.067334771156311,1.0533733367919922,0.80000001192092896,0.16523933410644531,1.4942687749862671
0.0036000001709908247,104.71975708007813,104.79466247558594,0.86025989055633545,0.92944717407226563,0.80000001192092896,0.1652374267578125,1.2043638229370117
0.0045000002719461918,104.71975708007813,104.87128448486328,0.76407217979431152,0.7848663330078125,0.80000001192092896,0.14458465576171875,1.069701075553894
0.0054000001400709152,104.71975708007813,104.90428161621094,0.71567797660827637,0.77453994750976563,0.80000001192092896,0.1136016845703125,1.0019491910934448
0.006300000473856926,104.71975708007813,104.9195556640625,0.68644285202026367,0.77453994750976563,0.80000001192092896,0.13425636291503906,0.96101999282836914
0.0072000003419816494,104.71975708007813,104.92742919921875,0.66532379388809204,0.74355888366699219,0.80000001192092896,0.18589210510253906,0.93145334720611572
0.0081000002101063728,104.71975708007813,104.92816162109375,0.65231502056121826,0.69192314147949219,0.80000001192092896,0.15491104125976563,0.91324102878570557
0.0090000005438923836,104.71975708007813,104.92880249023438,0.63937222957611084,0.6815948486328125,0.80000001192092896,0.12392997741699219,0.89512109756469727
0.0099000008776783943,104.71975708007813,104.92903900146484,0.62687253952026367,0.66094017028808594,0.80000001192092896,0.13425636291503906,0.87762159109115601
0.01080000028014183,104.71975708007813,104.92913055419922,0.61453038454055786,0.64028739929199219,0.80000001192092896,0.17556571960449219,0.86034250259399414
