"Time","Duty 1","Duty 2","Duty 3","I1","I2","I3","Id","Iq","Vd","Vq"
0,0.75641840696334839,0.73759686946868896,0.24358159303665161,-0.10326766967773438,-0.25817489624023438,0.020658493041992188,0.10833898186683655,-0.11952125281095505,-22.362062454223633,191.35261535644531
0.0099999997764825821,0.21630194783210754,0.78369808197021484,0.48973178863525391,-0.1962127685546875,0.051639556884765625,-0.10326766967773438,-0.0007744630565866828,0.14457841217517853,-23.95283317565918,186.39051818847656
0.019999999552965164,0.24311938881874084,0.26299059391021729,0.75688064098358154,0.0103302001953125,0.020658493041992188,-0.19621086120605469,0.026371430605649948,-0.13877934217453003,-21.427953720092773,191.52571105957031
0.029999999329447746,0.78000843524932861,0.21999156475067139,0.50562745332717896,0.14458465576171875,-0.28915596008300781,-0.01032257080078125,0.0045491247437894344,0.25376370549201965,-24.776851654052734,183.85240173339844
0.039999999105930328,0.75767242908477783,0.7380220890045166,0.24232754111289978,-0.16522979736328125,-0.28915596008300781,0.051639556884765625,0.097754620015621185,-0.17354458570480347,-21.605216979980469,192.25407409667969
0.049999997019767761,0.21733188629150391,0.78266811370849609,0.48861488699913025,-0.16523170471191406,0.051639556884765625,-0.13424873352050781,0.032101523131132126,0.13158035278320313,-24.012945175170898,185.70468139648438
0.059999998658895493,0.24067917466163635,0.26872768998146057,0.75932085514068604,0.030984878540039063,0.082620620727539063,-0.22719383239746094,0.059253722429275513,-0.18227450549602509,-21.210817337036133,191.99922180175781
0.070000000298023224,0.77994483709335327,0.22005516290664673,0.51147103309631348,0.15491104125976563,-0.28915596008300781,0.0103302001953125,0.010618711821734905,0.26131448149681091,-24.871326446533203,183.83688354492188
0.079999998211860657,0.76047205924987793,0.73377484083175659,0.23952791094779968,-0.14457511901855469,-0.32013893127441406,0.10327529907226563,0.13533161580562592,-0.20500199496746063,-21.835678100585938,193.08616638183594
0.08999999612569809,0.21676349639892578,0.78323650360107422,0.48394036293029785,-0.1962127685546875,0.010332107543945313,-0.082614898681640625,-0.025575693696737289,0.11667703092098236,-23.473539352416992,186.20332336425781
0.099999994039535522,0.23911964893341064,0.26900547742843628,0.76088035106658936,0.041311264038085938,0.020658493041992188,-0.27882957458496094,0.020748946815729141,-0.20584377646446228,-20.731870651245117,192.82733154296875
0.10999999940395355,0.77826476097106934,0.22173523902893066,0.5113905668258667,0.20654678344726563,-0.30981063842773438,-0.10326766967773438,-0.080030418932437897,0.28923195600509644,-24.143970489501953,182.74746704101563
