"Time","Duty 1","Duty 2","Duty 3","I1","I2","I3","V delta","Vdc","Ud*","Uq*","Id","Iq","omega_e","theta_e"
0,0.32837218046188354,0.46510189771652222,0.67162781953811646,0.50603294372558594,-0.051631927490234375,-0.95009422302246094,18.9453125,563.18359375,-112.19514465332031,6.3990688323974609,0.84767329692840576,-0.033520042896270752,104.92919158935547,0.6974334716796875
0.0099999997764825821,0.53202646970748901,0.33135873079299927,0.66864126920700073,-0.18588638305664063,0.61963272094726563,-0.79518508911132813,18.75,563.96484375,-110.20961761474609,7.7121772766113281,0.81543368101119995,-0.081132017076015472,104.97903442382813,1.7498674392700195
0.019999999552965164,0.67227375507354736,0.32772627472877502,0.46800744533538818,-0.95009422302246094,0.54734230041503906,-0.072286605834960938,19.140625,564.0625,-112.56297302246094,8.0295658111572266,0.86612153053283691,-0.06839849054813385,104.35099792480469,2.7960176467895508
0.029999999329447746,0.67152887582778931,0.53550517559051514,0.32847112417221069,-0.77453231811523438,-0.25817489624023438,0.70224952697753906,19.04296875,563.96484375,-112.30686187744141,6.5248756408691406,0.86536282300949097,-0.0043969354592263699,104.87903594970703,3.842167854309082
0.039999999105930328,0.46473485231399536,0.67263025045394897,0.32736974954605103,0.020656585693359375,-0.95009422302246094,0.55766868591308594,18.75,563.76953125,-112.98507690429688,6.2644453048706055,0.88240236043930054,-0.007238924503326416,104.30113983154297,4.8851766586303711
0.049999997019767761,0.3267672061920166,0.6732327938079834,0.52968364953994751,0.67126846313476563,-0.85714912414550781,-0.20653915405273438,18.75,563.37890625,-112.99100494384766,7.5645771026611328,0.88285446166992188,-0.070641517639160156,103.72272491455078,5.925044059753418
0.059999998658895493,0.32596844434738159,0.46935781836509705,0.67403155565261841,0.5783233642578125,-0.030979156494140625,-0.95009422302246094,19.140625,562.890625,-113.47196960449219,7.1698627471923828,0.88743513822555542,-0.042549591511487961,104.87877655029297,-5.5951766967773438
0.070000000298023224,0.52972507476806641,0.31844189763069153,0.68155813217163086,-0.21686553955078125,0.79519462585449219,-0.89845657348632813,18.9453125,562.79296875,-118.22983551025391,8.1847906112670898,0.9827265739440918,-0.0503414086997509,104.35099792480469,-4.5490264892578125
0.079999998211860657,0.67691272497177124,0.32308727502822876,0.47192409634590149,-0.9707489013671875,0.61963272094726563,-0.06195831298828125,19.140625,562.98828125,-115.17287445068359,8.5484733581542969,0.91814100742340088,-0.076532699167728424,104.92892456054688,-3.4997344017028809
0.08999999612569809,0.6730118989944458,0.53566116094589233,0.3269881010055542,-0.78485870361328125,-0.28915596008300781,0.70224952697753906,18.84765625,563.18359375,-113.16838073730469,5.5616264343261719,0.87411469221115112,0.019735824316740036,104.92917633056641,-2.4504425525665283
0.099999994039535522,0.46059221029281616,0.67105960845947266,0.32894036173820496,-0.01032257080078125,-1.0017299652099609,0.44407272338867188,18.75,563.4765625,-112.18723297119141,4.5524568557739258,0.85308074951171875,0.032823465764522552,104.92917633056641,-1.3980088233947754
0.10999999940395355,0.32592567801475525,0.67407429218292236,0.53307795524597168,0.65061378479003906,-0.87780380249023438,-0.2478485107421875,18.84765625,563.671875,-113.75763702392578,7.1154727935791016,0.88474643230438232,-0.062619619071483612,104.40085601806641,-0.35185849666595459
0.11999999731779099,0.32418292760848999,0.46416085958480835,0.67581707239151001,0.59897804260253906,3.814697265625e-06,-0.96042251586914063,18.84765625,563.4765625,-114.97823333740234,6.88690185546875,0.90746951103210449,-0.039902608841657639,104.92890930175781,0.70057487487792969
0.12999999523162842,0.53306305408477783,0.32202377915382385,0.67797625064849854,-0.20653915405273438,0.74355888366699219,-0.88813018798828125,18.84765625,564.0625,-116.25398254394531,8.7781333923339844,0.94267892837524414,-0.082685470581054688,105.55720520019531,1.7530088424682617
0.14000000059604645,0.6681022047996521,0.3318977952003479,0.46976453065872192,-0.89845848083496094,0.51636123657226563,-0.11359405517578125,19.04296875,564.2578125,-109.80989837646484,8.2015590667724609,0.81308078765869141,-0.093830883502960205,104.3013916015625,2.7960176467895508
0.14999999105930328,0.67072105407714844,0.53098946809768677,0.32927897572517395,-0.85714912414550781,-0.22719192504882813,0.6299591064453125,18.9453125,563.96484375,-111.49008941650391,8.1035423278808594,0.8585045337677002,-0.076608471572399139,104.35074615478516,3.842167854309082
0.15999999642372131,0.46601247787475586,0.67497861385345459,0.3250214159488678,0.0103302001953125,-0.9707489013671875,0.59897804260253906,19.04296875,563.671875,-114.388671875,6.9990959167480469,0.91527724266052246,-0.026953777298331261,104.30091094970703,4.8851766586303711
0.17000000178813934,0.32488539814949036,0.67511463165283203,0.53263360261917114,0.7332305908203125,-0.82616806030273438,-0.22719192504882813,19.43359375,563.37890625,-114.38095855712891,6.6733779907226563,0.90786761045455933,-0.029449105262756348,103.72272491455078,5.925044059753418
0.17999999225139618,0.32160094380378723,0.47019600868225098,0.67839908599853516,0.62996101379394531,-0.030977249145507813,-1.0017299652099609,18.9453125,562.79296875,-116.20079803466797,7.9433975219726563,0.94625616073608398,-0.052307765930891037,104.87877655029297,-5.5951766967773438
0.18999999761581421,0.53219461441040039,0.31985890865325928,0.68014109134674072,-0.23752021789550781,0.80552291870117188,-0.84682273864746094,19.04296875,562.98828125,-117.51270294189453,7.1232833862304688,0.96479499340057373,-0.012497385963797569,104.35099792480469,-4.5490264892578125
0.19999998807907104,0.67212057113647461,0.32787942886352539,0.47211900353431702,-0.9191131591796875,0.56799697875976563,-0.082612991333007813,18.84765625,563.0859375,-112.10751342773438,8.1089334487915039,0.85706347227096558,-0.080294206738471985,104.92892456054688,-3.4997344017028809
